id_oferta,id_curso,id_municipio,modalidade_graduacao,turno_graduacao,categoria_administrativa
48042,904,2700300,Presencial,Vespertino,Pública Federal
48043,2001,3301009,Presencial,Vespertino,Pública Estadual
48044,72,3523909,Presencial,Integral,Pública Estadual
48045,72,3523909,Presencial,Noturno,Pública Estadual
48046,72,3523909,Presencial,Matutino,Pública Estadual
48047,2402,2611606,EAD,Integral,Pública Federal
48048,2402,2611606,EAD,Noturno,Pública Federal
48049,2402,2611606,EAD,Matutino,Pública Federal
48050,2402,2611606,EAD,Vespertino,Pública Federal
48051,905,5300108,Presencial,Matutino,Privada com fins lucrativos
48052,2402,5300108,Presencial,Vespertino,Privada com fins lucrativos
48053,2501,2304400,EAD,Noturno,Pública Estadual
48054,2501,2304400,EAD,Integral,Pública Estadual
48055,2501,2304400,EAD,Matutino,Pública Estadual
48056,1602,4305207,Presencial,Matutino,Pública Federal
48057,1602,4305207,Presencial,Noturno,Pública Federal
48058,1602,4305207,Presencial,Integral,Pública Federal
48059,1502,4113700,Presencial,Noturno,Pública Federal
48060,1502,4113700,Presencial,Matutino,Pública Federal
48061,1502,4113700,Presencial,Integral,Pública Federal
48062,1402,4305207,Presencial,Integral,Pública Federal
48063,1402,4305207,Presencial,Noturno,Pública Federal
48064,1502,4305207,Presencial,Integral,Pública Federal
48065,1502,4305207,Presencial,Noturno,Pública Federal
48066,1502,4305207,Presencial,Matutino,Pública Federal
48067,1602,4121406,Presencial,Noturno,Pública Federal
48068,1602,4121406,Presencial,Matutino,Pública Federal
48069,1602,4121406,Presencial,Integral,Pública Federal
48070,1402,4121406,Presencial,Noturno,Pública Federal
48071,1402,4121406,Presencial,Vespertino,Pública Federal
48072,1402,4121406,Presencial,Integral,Pública Federal
48073,1402,4121406,Presencial,Matutino,Pública Federal
48074,1502,4121406,Presencial,Matutino,Pública Federal
48075,1502,4121406,Presencial,Noturno,Pública Federal
48076,1502,4121406,Presencial,Integral,Pública Federal
48077,1602,3550308,EAD,Matutino,Pública Municipal
48078,1602,3550308,EAD,Noturno,Pública Municipal
48079,1602,3550308,EAD,Integral,Pública Municipal
48080,2001,2611606,EAD,Noturno,Pública Federal
48081,2001,2611606,EAD,Vespertino,Pública Federal
48082,2001,2611606,EAD,Matutino,Pública Federal
48083,2001,2611606,EAD,Integral,Pública Federal
48084,3502,3550308,EAD,Noturno,Pública Municipal
48085,3502,3550308,EAD,Matutino,Pública Municipal
48086,3502,3550308,EAD,Vespertino,Pública Municipal
48087,3502,3550308,EAD,Integral,Pública Municipal
48088,2001,3550308,EAD,Noturno,Pública Municipal
48089,2001,3550308,EAD,Matutino,Pública Municipal
48090,2001,3550308,EAD,Integral,Pública Municipal
48091,2001,3550308,EAD,Vespertino,Pública Municipal
48092,2501,3550308,EAD,Noturno,Pública Municipal
48093,2501,3550308,EAD,Vespertino,Pública Municipal
48094,2501,3550308,EAD,Matutino,Pública Municipal
48095,3202,3550308,EAD,Noturno,Pública Municipal
48096,3202,3550308,EAD,Matutino,Pública Municipal
48097,2402,3550308,EAD,Matutino,Pública Municipal
48098,2402,3550308,EAD,Noturno,Pública Municipal
48099,2402,3550308,EAD,Integral,Pública Municipal
48100,702,3550308,EAD,Noturno,Pública Municipal
48101,702,3550308,EAD,Integral,Pública Municipal
48102,702,3550308,EAD,Matutino,Pública Municipal
48103,1502,3550308,EAD,Noturno,Pública Municipal
48104,1502,3550308,EAD,Matutino,Pública Municipal
48105,1502,3550308,EAD,Vespertino,Pública Municipal
48106,1502,3550308,EAD,Integral,Pública Municipal
48107,5402,3550308,EAD,Integral,Pública Municipal
48108,5402,3550308,EAD,Matutino,Pública Municipal
48109,5402,3550308,EAD,Noturno,Pública Municipal
48110,4004,4115804,Presencial,Noturno,Pública Federal
48111,4004,4115804,Presencial,Matutino,Pública Federal
48112,4004,4115804,Presencial,Integral,Pública Federal
48113,702,4127700,Presencial,Integral,Pública Federal
48114,702,4127700,Presencial,Matutino,Pública Federal
48115,702,4127700,Presencial,Noturno,Pública Federal
48116,702,4127700,Presencial,Vespertino,Pública Federal
48117,1402,2503704,Presencial,Matutino,Pública Federal
48118,1402,2503704,Presencial,Noturno,Pública Federal
48119,1402,2503704,Presencial,Integral,Pública Federal
48120,1502,2503704,Presencial,Integral,Pública Federal
48121,1602,2503704,Presencial,Integral,Pública Federal
48122,1602,2503704,Presencial,Noturno,Pública Federal
48123,1602,2503704,Presencial,Matutino,Pública Federal
48124,1602,2503704,Presencial,Vespertino,Pública Federal
48125,3002,3550308,EAD,Matutino,Pública Municipal
48126,3002,3550308,EAD,Noturno,Pública Municipal
48127,3002,3550308,EAD,Integral,Pública Municipal
48128,72,3530508,Presencial,Integral,Pública Estadual
48129,72,3530508,Presencial,Vespertino,Pública Estadual
48130,72,3530508,Presencial,Noturno,Pública Estadual
48131,72,3530508,Presencial,Matutino,Pública Estadual
48132,4301,2601706,Presencial,Noturno,Pública Federal
48133,4301,2601706,Presencial,Integral,Pública Federal
48134,4301,2601706,Presencial,Matutino,Pública Federal
48135,4301,2601706,Presencial,Vespertino,Pública Federal
48136,904,3106200,EAD,Noturno,Privada com fins lucrativos
48137,904,3106200,EAD,Matutino,Privada com fins lucrativos
48138,904,3106200,EAD,Integral,Privada com fins lucrativos
48139,904,3106200,EAD,Vespertino,Privada com fins lucrativos
48140,702,2101400,Presencial,Matutino,Pública Estadual
48141,702,2101400,Presencial,Noturno,Pública Estadual
48142,702,2101400,Presencial,Integral,Pública Estadual
48143,702,2101400,Presencial,Vespertino,Pública Estadual
48144,6409,3549904,Presencial,Vespertino,Privada com fins lucrativos
48145,6409,3549904,Presencial,Noturno,Privada com fins lucrativos
48146,2001,3306008,Presencial,Integral,Pública Estadual
48147,2001,3306008,Presencial,Noturno,Pública Estadual
48148,2001,3306008,Presencial,Matutino,Pública Estadual
48149,1602,2111300,EAD,Matutino,Pública Federal
48150,1602,2111300,EAD,Noturno,Pública Federal
48151,1602,2111300,EAD,Integral,Pública Federal
48152,1602,2111300,EAD,Vespertino,Pública Federal
48153,2501,2111300,EAD,Noturno,Pública Federal
48154,2501,2111300,EAD,Integral,Pública Federal
48155,2501,2111300,EAD,Matutino,Pública Federal
48156,72,4311403,EAD,Noturno,Privada sem fins lucrativos
48157,72,4311403,EAD,Matutino,Privada sem fins lucrativos
48158,1501,3303203,Presencial,Noturno,Pública Federal
48159,1501,3303203,Presencial,Matutino,Pública Federal
48160,1501,3303203,Presencial,Vespertino,Pública Federal
48161,1501,3303203,Presencial,Integral,Pública Federal
48162,702,3303609,Presencial,Noturno,Pública Federal
48163,702,3303609,Presencial,Integral,Pública Federal
48164,702,3303609,Presencial,Matutino,Pública Federal
48165,702,3303609,Presencial,Vespertino,Pública Federal
48166,72,5300108,EAD,Noturno,Privada com fins lucrativos
48167,72,5300108,EAD,Matutino,Privada com fins lucrativos
48168,72,5300108,EAD,Integral,Privada com fins lucrativos
48169,1402,1200500,Presencial,Noturno,Pública Federal
48170,1402,1200500,Presencial,Integral,Pública Federal
48171,1402,1200500,Presencial,Matutino,Pública Federal
48172,1402,1200500,Presencial,Vespertino,Pública Federal
48173,2001,3557105,EAD,Integral,Privada sem fins lucrativos
48174,2001,3557105,EAD,Matutino,Privada sem fins lucrativos
48175,2001,3557105,EAD,Noturno,Privada sem fins lucrativos
48176,2001,3557105,EAD,Vespertino,Privada sem fins lucrativos
48177,3501,5211503,Presencial,Matutino,Privada com fins lucrativos
48178,3501,5211503,Presencial,Vespertino,Privada com fins lucrativos
48179,26,3136702,Presencial,Vespertino,Pública Federal
48180,26,3136702,Presencial,Noturno,Pública Federal
48181,26,3136702,Presencial,Integral,Pública Federal
48182,26,3136702,Presencial,Matutino,Pública Federal
